"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"LTREB","44369","BG","2","COBBLE","11.1875",NA,NA
"LTREB","44369","BG","3","COBBLE","15.25",NA,NA
"LTREB","44369","BG","4","COBBLE","17.0625",NA,NA
"LTREB","44369","BG","5","COBBLE","7",NA,NA
"LTREB","44369","BN","1","COBBLE","15",NA,NA
"LTREB","44369","BN","2","COBBLE","9.4375",NA,NA
"LTREB","44369","BN","3","COBBLE","13.5",NA,NA
"LTREB","44369","BN","4","COBBLE","12.875",NA,NA
"LTREB","44369","BN","5","COBBLE","12.6875",NA,NA
"LTREB","44384","WS","1","COBBLE","30.75",NA,NA
"LTREB","44384","WS","2","COBBLE","27.75",NA,NA
"LTREB","44384","WS","3","GRAVEL","37.125",NA,NA
"LTREB","44384","WS","4","COBBLE","33.25",NA,NA
"LTREB","44384","DL","1","COBBLE","8.5",NA,NA
"LTREB","44384","DL","2","COBBLE","31.5",NA,NA
"LTREB","44384","DL","3","COBBLE","29.5",NA,NA
"LTREB","44384","DL","4","COBBLE","11",NA,NA
"LTREB","44384","GR","1","COBBLE","12.125",NA,NA
"LTREB","44384","GR","2","COBBLE","22.75",NA,NA
"LTREB","44384","GR","3","COBBLE","23.25",NA,NA
"LTREB","44384","GR","4","COBBLE","28.75",NA,NA
"LTREB","44384","GC","1","COBBLE","6.625",NA,NA
"LTREB","44384","GC","2","COBBLE","14.625",NA,NA
"LTREB","44384","GC","4","COBBLE","14",NA,NA
"LTREB","44384","GC","5","COBBLE","9.625",NA,NA
"LTREB","44384","BG","1","COBBLE","13.5",NA,NA
"LTREB","44384","BG","2","COBBLE","14.625",NA,NA
"LTREB","44384","BG","3","COBBLE","7",NA,NA
"LTREB","44384","BG","4","COBBLE","15.125",NA,NA
"LTREB","44384","BG","5","COBBLE","7.5",NA,NA
"LTREB","44384","BN","1","COBBLE","15",NA,NA
"LTREB","44384","BN","2","COBBLE","15.875",NA,NA
"LTREB","44384","BN","3","COBBLE","6.8125",NA,NA
"LTREB","44384","BN","4","COBBLE","11.25",NA,NA
"LTREB","44384","BN","5","COBBLE","8.1875",NA,NA
"LTREB","44461","DL","1","COBBLE","16",NA,NA
"LTREB","44461","DL","2","COBBLE","13.875",NA,NA
"LTREB","44461","DL","3","COBBLE","24.25",NA,NA
"LTREB","44461","DL","4","COBBLE","27.375",NA,NA
"LTREB","44461","DL","5","COBBLE","22",NA,NA
"LTREB","44461","GR","2","COBBLE","31.5",NA,NA
"LTREB","44461","GR","3","COBBLE","35.375",NA,NA
"LTREB","44461","GR","4","COBBLE","21.25",NA,NA
"LTREB","44461","GR","5","COBBLE","11.75",NA,NA
"LTREB","44461","BG","1","COBBLE","8.75",NA,NA
